label,fg_per_game,fga_per_game,fg_percent,x3pa_per_game,x3p_percent,x2pa_per_game,x2p_percent,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
PG,3.1,7.2,0.428,3.4,0.375,3.8,0.474,0.9,0.879,0.2,1.6,1.8,3.3,0.6,0.2,1.3,1.5,8.3
PG,5.1,11.9,0.43,6.7,0.313,5.2,0.583,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
C,5.2,7.9,0.649,0,0,7.9,0.649,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7
PG,3.6,7.6,0.472,0.4,0.222,7.2,0.487,0.8,0.697,1.3,1.9,3.2,2.8,1,0.3,1.2,1.5,7.8
C,1.5,2.3,0.68,0.1,0,2.2,0.708,0.4,0.75,0.9,2.2,3.1,0.4,0.3,0.6,0.3,0.9,3.4
C,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0
C,1.9,2.8,0.68,0.1,0,2.7,0.708,0.4,0.75,1.1,2.4,3.6,0.4,0.3,0.8,0.3,1,4.1
C,4.8,8.2,0.586,0.5,0.391,7.7,0.597,2.5,0.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7
C,4.1,7,0.591,0.2,0.167,6.7,0.606,2.3,0.82,1.8,2.8,4.5,1,0.2,0.5,1.1,1.5,10.2
C,5.5,9.5,0.581,0.7,0.471,8.8,0.59,2.7,0.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3
C,1.9,3.3,0.569,0.1,0,3.2,0.592,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3
C,1.5,3.4,0.432,2.1,0.348,1.3,0.574,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4
PG,3.9,8.5,0.457,5.3,0.442,3.1,0.481,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4
C,1.1,2.9,0.359,1.8,0.292,1.1,0.467,0.5,0.68,0.7,1.6,2.4,0.7,0.2,0.2,0.4,1,3
C,1.4,3.8,0.367,2.1,0.275,1.6,0.487,0.8,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4
C,1.2,3.4,0.341,2.6,0.382,0.8,0.2,0.3,0.5,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1,3.5
C,0.5,1.4,0.364,0.7,0.091,0.7,0.636,0.1,0,0.4,0.9,1.3,0.3,0.1,0.1,0.3,0.5,1.1
PG,3,6.7,0.452,3.9,0.41,2.8,0.511,0.7,0.86,0.5,1,1.5,1.7,0.7,0.1,0.4,1.6,8.3
C,2.4,4.1,0.575,0,0,4.1,0.575,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6
C,1.7,3.5,0.49,1.1,0.391,2.4,0.537,0.9,0.68,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4
PG,1.9,4.6,0.405,2.1,0.386,2.5,0.422,0.6,0.684,0.2,1.5,1.7,2.1,0.6,0.3,0.2,0.4,5
PG,2,5.5,0.364,1.8,0.182,3.7,0.455,0.3,0.5,0.3,1.7,2,1.3,0.2,0.2,0.3,0.2,4.5
PG,1.9,4.4,0.417,2.2,0.424,2.3,0.41,0.6,0.706,0.2,1.5,1.7,2.3,0.7,0.3,0.2,0.5,5.1
C,4.2,6.9,0.601,1.4,0.33,5.5,0.673,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2,10.9
C,1.5,3,0.508,0,0,3,0.508,1.4,0.29,1.7,2.2,3.9,0.3,0.2,0.3,0.5,1.2,3.4
C,0.9,1.7,0.526,0,0,1.7,0.526,1.3,0.643,1.4,0.8,2.2,0.4,0.5,0.1,0.2,0.4,2.6
C,6.2,11.8,0.524,4.2,0.358,7.6,0.615,4.1,0.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3,17.1
C,0.5,1.1,0.429,0,0,1.1,0.429,0.5,0.75,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3
C,5,10.5,0.477,5,0.414,5.5,0.535,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5
